Episode,Step,State,Action,Action_Description,Reward,Reward_Info,Ego_Vehicle_Ops_Value,Ego_Vehicle_Pose,Obstacle_Info,Traffic_Light,Done,Ego_Operation
0,0,"{'x': -11.6891040802002, 'y': 10.1245231628418, 'z': 307.911376953125, 'rx': 359.933288574219, 'ry': 307.323699951172, 'rz': -0.0015810412587598, 'rain': 0, 'fog': 0, 'wetness': 0, 'timeofday': 12, 'signal': -1, 'speed': 2.993633645477088}",51,Pedestrian crossing the road (left to right),0.753329,"{'JERK': [10.280000000000001, 2.92, 2.38, 1.54, 0.9400000000000002, 0.6000000000000001, 0.30000000000000004, 0.41999999999999993, 0.48, 0.07999999999999985, 0.20000000000000007, 0.4999999999999999], 'TTC': [100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000], 'collision_speed': 0, 'collision_type': 'None', 'distance': [18.357353, 15.429384, 11.907839, 7.991034, 4.110829, 3.000506, 6.767085, 11.38726, 16.197844, 21.117161, 26.129513, 31.247514], 'probability': [0, 0, 0, 0.2439, 0.651993, 0.753329, 0.462403, 0.109993, 0, 0, 0, 0]}","[{'acceleration': 1.15, 'throttle': 45.28, 'steering_target': 0.22, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 2.92}, {'acceleration': 2.36, 'throttle': 45.0, 'steering_target': 0.22, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 2.92}, {'acceleration': 3.44, 'throttle': 47.42, 'steering_target': 0.21, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 3.05}, {'acceleration': 0.72, 'throttle': 22.67, 'steering_target': 0.21, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 4.14}, {'acceleration': 2.34, 'throttle': 53.32, 'steering_target': 0.2, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 4.14}, {'acceleration': 2.69, 'throttle': 55.18, 'steering_target': 0.18, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 4.54}, {'acceleration': 1.62, 'throttle': 46.45, 'steering_target': 0.21, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 5.49}, {'acceleration': 2.45, 'throttle': 45.98, 'steering_target': 0.21, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 5.49}, {'acceleration': 2.1, 'throttle': 34.29, 'steering_target': 0.14, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 6.33}, {'acceleration': 1.29, 'throttle': 30.07, 'steering_target': 0.15, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 6.77}, {'acceleration': 1.76, 'throttle': 36.45, 'steering_target': 0.14, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 6.77}, {'acceleration': 1.07, 'throttle': 21.59, 'steering_target': 0.18, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 7.24}]","[{'vx': -2.35, 'ay': 0.82, 'az': 9.79, 'ax': 0.63, 'pz': 10.12, 'vy': 1.79, 'px': 552863.46, 'py': 4182793.04, 'vz': -0.0}, {'vx': -2.37, 'ay': 0.82, 'az': 9.8, 'ax': 0.63, 'pz': 10.12, 'vy': 1.81, 'px': 552863.39, 'py': 4182793.1, 'vz': -0.0}, {'vx': -2.38, 'ay': 0.82, 'az': 9.8, 'ax': 0.63, 'pz': 10.12, 'vy': 1.81, 'px': 552863.37, 'py': 4182793.11, 'vz': -0.0}, {'vx': -2.71, 'ay': 1.81, 'az': 9.8, 'ax': 1.38, 'pz': 10.12, 'vy': 2.06, 'px': 552862.86, 'py': 4182793.5, 'vz': -0.0}, {'vx': -3.15, 'ay': 2.31, 'az': 9.8, 'ax': 1.76, 'pz': 10.12, 'vy': 2.4, 'px': 552862.27, 'py': 4182793.95, 'vz': -0.0}, {'vx': -3.28, 'ay': 0.44, 'az': 9.81, 'ax': 0.33, 'pz': 10.12, 'vy': 2.49, 'px': 552862.05, 'py': 4182794.12, 'vz': -0.0}, {'vx': -3.29, 'ay': 0.41, 'az': 9.83, 'ax': 0.31, 'pz': 10.12, 'vy': 2.5, 'px': 552861.95, 'py': 4182794.19, 'vz': -0.0}, {'vx': -3.29, 'ay': 0.41, 'az': 9.83, 'ax': 0.31, 'pz': 10.12, 'vy': 2.5, 'px': 552861.95, 'py': 4182794.19, 'vz': -0.0}, {'vx': -3.86, 'ay': 3.48, 'az': 9.78, 'ax': 2.65, 'pz': 10.12, 'vy': 2.93, 'px': 552861.31, 'py': 4182794.68, 'vz': -0.0}, {'vx': -4.36, 'ay': 0.69, 'az': 9.85, 'ax': 0.53, 'pz': 10.12, 'vy': 3.3, 'px': 552860.27, 'py': 4182795.47, 'vz': -0.0}, {'vx': -4.39, 'ay': 0.53, 'az': 9.86, 'ax': 0.4, 'pz': 10.12, 'vy': 3.33, 'px': 552859.96, 'py': 4182795.71, 'vz': -0.0}, {'vx': -4.39, 'ay': -0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.12, 'vy': 3.33, 'px': 552859.96, 'py': 4182795.71, 'vz': -0.0}]","[[], [], [], [], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182802.65, 'x': 552846.1, 'z': 10.63}, 'volume': {'wid': 0.27, 'hei': 0.81, 'len': 0.21}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': -0.0, 'z': 0.0}}], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182802.75, 'x': 552846.2, 'z': 10.38}, 'volume': {'wid': 0.49, 'hei': 1.34, 'len': 0.32}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.0, 'x': 0.0, 'z': 0.0}}], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182802.22, 'x': 552846.9, 'z': 10.44}, 'volume': {'wid': 0.32, 'hei': 1.21, 'len': 0.36}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.0, 'x': 0.0, 'z': 0.0}}], [{'acceleration': {'y': 0.03, 'x': -0.01, 'z': 0.0}, 'position': {'y': 4182802.49, 'x': 552846.87, 'z': 10.44}, 'volume': {'wid': 0.3, 'hei': 1.25, 'len': 0.43}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.17, 'x': 0.56, 'z': 0.0}}], [{'acceleration': {'y': 0.3, 'x': 0.41, 'z': 0.0}, 'position': {'y': 4182802.27, 'x': 552847.6, 'z': 10.69}, 'volume': {'wid': 0.32, 'hei': 1.02, 'len': 0.64}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.12, 'x': 0.85, 'z': 0.0}}], [{'acceleration': {'y': 0.45, 'x': -0.3, 'z': 0.0}, 'position': {'y': 4182802.39, 'x': 552847.66, 'z': 10.5}, 'volume': {'wid': 0.42, 'hei': 1.2, 'len': 0.37}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.03, 'x': 0.67, 'z': 0.0}}], [{'acceleration': {'y': -0.03, 'x': 0.18, 'z': 0.0}, 'position': {'y': 4182802.31, 'x': 552847.91, 'z': 10.48}, 'volume': {'wid': 0.4, 'hei': 1.21, 'len': 0.41}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.11, 'x': 0.88, 'z': 0.0}}], [{'acceleration': {'y': -0.46, 'x': 0.31, 'z': 0.0}, 'position': {'y': 4182802.02, 'x': 552848.6, 'z': 10.43}, 'volume': {'wid': 0.27, 'hei': 1.05, 'len': 0.25}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.36, 'x': 1.09, 'z': 0.0}}]]","[3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 3, 3]",False,"['SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp']"
0,1,"{'x': -48.439567565918, 'y': 10.1233692169189, 'z': 335.620513916016, 'rx': 359.971893310547, 'ry': 307.166290283203, 'rz': 0.00671829842031002, 'rain': 0, 'fog': 0, 'wetness': 0, 'timeofday': 12, 'signal': 1, 'speed': 9.460268383405953}",51,Pedestrian crossing the road (left to right),0.8425239999999999,"{'JERK': [0.48, 1.0, 0.4800000000000001, 0.21999999999999997, 0.74, 0.98, 0.5399999999999999, 0.23999999999999988, 1.08, 0.16000000000000014, 0.68, 0.11999999999999988], 'TTC': [100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000], 'collision_speed': 0, 'collision_type': 'None', 'distance': [15.584076, 10.538771, 5.592415, 2.376576, 5.979297, 11.091034, 16.396977, 21.788841, 27.243468, 32.758694, 38.321434, 43.93048], 'probability': [0, 0.278784, 0.624747, 0.842524, 0.608429, 0.281317, 0, 0, 0, 0, 0, 0]}","[{'acceleration': 0.64, 'throttle': 21.4, 'steering_target': -0.12, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.45}, {'acceleration': 0.5, 'throttle': 15.7, 'steering_target': -0.12, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.45}, {'acceleration': 0.53, 'throttle': 15.7, 'steering_target': -0.12, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.45}, {'acceleration': 0.56, 'throttle': 20.11, 'steering_target': -0.11, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.58}, {'acceleration': 0.65, 'throttle': 21.99, 'steering_target': -0.09, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.63}, {'acceleration': 0.49, 'throttle': 15.7, 'steering_target': -0.09, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.63}, {'acceleration': 0.65, 'throttle': 21.97, 'steering_target': -0.09, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.63}, {'acceleration': 0.44, 'throttle': 15.7, 'steering_target': -0.06, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.76}, {'acceleration': 0.53, 'throttle': 15.7, 'steering_target': -0.04, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.76}, {'acceleration': 0.6, 'throttle': 24.08, 'steering_target': -0.04, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.76}, {'acceleration': 0.52, 'throttle': 15.7, 'steering_target': -0.04, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.82}, {'acceleration': 0.45, 'throttle': 15.7, 'steering_target': 0.0, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 9.9}]","[{'vx': -7.54, 'ay': 0.0, 'az': 9.81, 'ax': -0.0, 'pz': 10.12, 'vy': 5.72, 'px': 552826.62, 'py': 4182820.83, 'vz': 0.0}, {'vx': -7.59, 'ay': 0.35, 'az': 9.81, 'ax': 0.27, 'pz': 10.12, 'vy': 5.76, 'px': 552825.11, 'py': 4182821.97, 'vz': 0.0}, {'vx': -7.65, 'ay': 0.16, 'az': 9.82, 'ax': 0.12, 'pz': 10.12, 'vy': 5.81, 'px': 552823.43, 'py': 4182823.25, 'vz': 0.0}, {'vx': -7.66, 'ay': 0.32, 'az': 9.81, 'ax': 0.24, 'pz': 10.12, 'vy': 5.82, 'px': 552822.89, 'py': 4182823.65, 'vz': -0.0}, {'vx': -7.66, 'ay': -0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.12, 'vy': 5.83, 'px': 552822.82, 'py': 4182823.71, 'vz': -0.0}, {'vx': -7.66, 'ay': -0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.12, 'vy': 5.83, 'px': 552822.82, 'py': 4182823.71, 'vz': -0.0}, {'vx': -7.71, 'ay': 0.15, 'az': 9.82, 'ax': 0.12, 'pz': 10.12, 'vy': 5.87, 'px': 552821.51, 'py': 4182824.71, 'vz': 0.0}, {'vx': -7.75, 'ay': 0.15, 'az': 9.81, 'ax': 0.12, 'pz': 10.12, 'vy': 5.9, 'px': 552819.73, 'py': 4182826.06, 'vz': 0.0}, {'vx': -7.76, 'ay': 0.16, 'az': 9.81, 'ax': 0.12, 'pz': 10.12, 'vy': 5.91, 'px': 552819.11, 'py': 4182826.53, 'vz': 0.0}, {'vx': -7.76, 'ay': 0.15, 'az': 9.81, 'ax': 0.12, 'pz': 10.12, 'vy': 5.91, 'px': 552818.95, 'py': 4182826.65, 'vz': 0.0}, {'vx': -7.82, 'ay': 0.15, 'az': 9.81, 'ax': 0.12, 'pz': 10.12, 'vy': 5.96, 'px': 552817.47, 'py': 4182827.78, 'vz': 0.0}, {'vx': -7.86, 'ay': 0.15, 'az': 9.81, 'ax': 0.12, 'pz': 10.12, 'vy': 5.99, 'px': 552815.59, 'py': 4182829.21, 'vz': 0.0}]","[[], [], [], [{'acceleration': {'y': 0.0, 'x': -0.0, 'z': 0.0}, 'position': {'y': 4182831.16, 'x': 552809.05, 'z': 10.43}, 'volume': {'wid': 0.3, 'hei': 1.29, 'len': 0.49}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.68, 'x': -0.1, 'z': 0.0}}], [{'acceleration': {'y': -1.35, 'x': 2.04, 'z': 0.0}, 'position': {'y': 4182830.86, 'x': 552809.82, 'z': 10.43}, 'volume': {'wid': 0.36, 'hei': 1.14, 'len': 0.4}, 'type': 'PEDESTRIAN', 'velocity': {'y': -0.1, 'x': 1.05, 'z': 0.0}}], [], [], [], [], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182831.53, 'x': 552810.95, 'z': 10.57}, 'volume': {'wid': 0.51, 'hei': 0.97, 'len': 0.41}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': 0.0, 'z': 0.0}}], [], []]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,"['SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp', 'SpeedUp']"
0,2,"{'x': -97.0569305419922, 'y': 10.1229696273804, 'z': 372.376098632813, 'rx': 359.986267089844, 'ry': 306.681396484375, 'rz': -0.00468151457607746, 'rain': 0, 'fog': 0, 'wetness': 0, 'timeofday': 12, 'signal': -1, 'speed': 10.713494459932019}",51,Pedestrian crossing the road (left to right),0.774704,"{'JERK': [2.26, 3.4000000000000004, 3.78, 5.16, 2.32, 2.5, 1.7000000000000002, 1.1399999999999997, 2.66, 3.16, 5.359999999999999, 3.42], 'TTC': [100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000], 'collision_speed': 0, 'collision_type': 'None', 'distance': [15.20736, 10.343368, 5.792814, 2.388225, 3.415462, 6.14901, 8.553238, 10.524236, 12.563944, 14.9771, 17.931053, 21.527473], 'probability': [0, 0.198016, 0.555321, 0.774704, 0.623907, 0.201246, 0, 0, 0, 0, 0, 0]}","[{'acceleration': -0.6, 'throttle': 0.0, 'steering_target': 0.06, 'brake': 22.66, 'steering_rate': 100.0, 'speed': 10.71}, {'acceleration': -0.87, 'throttle': 0.0, 'steering_target': 0.06, 'brake': 24.22, 'steering_rate': 100.0, 'speed': 10.71}, {'acceleration': -1.08, 'throttle': 0.0, 'steering_target': 0.06, 'brake': 25.48, 'steering_rate': 100.0, 'speed': 10.71}, {'acceleration': -1.24, 'throttle': 0.0, 'steering_target': 0.06, 'brake': 26.45, 'steering_rate': 100.0, 'speed': 10.71}, {'acceleration': -0.89, 'throttle': 0.0, 'steering_target': 0.07, 'brake': 24.42, 'steering_rate': 100.0, 'speed': 10.27}, {'acceleration': -1.95, 'throttle': 0.0, 'steering_target': 0.09, 'brake': 30.83, 'steering_rate': 100.0, 'speed': 10.08}, {'acceleration': -2.63, 'throttle': 0.0, 'steering_target': 0.09, 'brake': 34.86, 'steering_rate': 100.0, 'speed': 10.08}, {'acceleration': -3.24, 'throttle': 0.0, 'steering_target': 0.09, 'brake': 39.5, 'steering_rate': 100.0, 'speed': 10.08}, {'acceleration': -3.2, 'throttle': 0.0, 'steering_target': 0.09, 'brake': 39.2, 'steering_rate': 100.0, 'speed': 10.08}, {'acceleration': -1.24, 'throttle': 0.0, 'steering_target': 0.1, 'brake': 22.02, 'steering_rate': 100.0, 'speed': 9.36}, {'acceleration': 0.17, 'throttle': 15.7, 'steering_target': 0.07, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 8.92}, {'acceleration': 0.22, 'throttle': 15.7, 'steering_target': 0.07, 'brake': 0.0, 'steering_rate': 100.0, 'speed': 8.92}]","[{'vx': -8.59, 'ay': 0.0, 'az': 9.81, 'ax': -0.0, 'pz': 10.12, 'vy': 6.4, 'px': 552778.01, 'py': 4182857.59, 'vz': 0.0}, {'vx': -8.35, 'ay': -1.28, 'az': 9.87, 'ax': -0.96, 'pz': 10.12, 'vy': 6.21, 'px': 552776.23, 'py': 4182858.92, 'vz': 0.0}, {'vx': -8.08, 'ay': -1.12, 'az': 9.82, 'ax': -0.83, 'pz': 10.12, 'vy': 6.01, 'px': 552774.42, 'py': 4182860.26, 'vz': 0.0}, {'vx': -8.01, 'ay': -0.0, 'az': 9.81, 'ax': -0.0, 'pz': 10.13, 'vy': 5.95, 'px': 552773.86, 'py': 4182860.68, 'vz': 0.0}, {'vx': -8.01, 'ay': -0.0, 'az': 9.81, 'ax': -0.0, 'pz': 10.13, 'vy': 5.95, 'px': 552773.86, 'py': 4182860.68, 'vz': 0.0}, {'vx': -7.6, 'ay': -2.2, 'az': 9.85, 'ax': -1.64, 'pz': 10.13, 'vy': 5.65, 'px': 552772.38, 'py': 4182861.78, 'vz': 0.0}, {'vx': -7.3, 'ay': -2.09, 'az': 9.82, 'ax': -1.56, 'pz': 10.13, 'vy': 5.43, 'px': 552771.34, 'py': 4182862.55, 'vz': 0.0}, {'vx': -7.16, 'ay': 0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.13, 'vy': 5.31, 'px': 552770.11, 'py': 4182863.47, 'vz': 0.0}, {'vx': -7.16, 'ay': 0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.13, 'vy': 5.31, 'px': 552770.11, 'py': 4182863.47, 'vz': 0.0}, {'vx': -7.16, 'ay': 0.0, 'az': 9.81, 'ax': 0.0, 'pz': 10.13, 'vy': 5.31, 'px': 552770.11, 'py': 4182863.47, 'vz': 0.0}, {'vx': -7.17, 'ay': 0.21, 'az': 9.76, 'ax': 0.15, 'pz': 10.12, 'vy': 5.32, 'px': 552768.89, 'py': 4182864.37, 'vz': 0.0}, {'vx': -7.23, 'ay': 0.22, 'az': 9.79, 'ax': 0.16, 'pz': 10.12, 'vy': 5.36, 'px': 552767.16, 'py': 4182865.65, 'vz': 0.0}]","[[], [], [], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182867.3, 'x': 552760.26, 'z': 10.49}, 'volume': {'wid': 0.39, 'hei': 1.15, 'len': 0.26}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': -0.0, 'z': 0.0}}], [{'acceleration': {'y': 0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182867.8, 'x': 552760.49, 'z': 10.47}, 'volume': {'wid': 0.37, 'hei': 1.2, 'len': 0.37}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': -0.0, 'z': 0.0}}], [{'acceleration': {'y': 0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182867.7, 'x': 552760.74, 'z': 10.52}, 'volume': {'wid': 0.41, 'hei': 1.21, 'len': 0.53}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': 0.0, 'z': 0.0}}], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182867.5, 'x': 552761.15, 'z': 10.96}, 'volume': {'wid': 0.17, 'hei': 0.55, 'len': 0.08}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': -0.0, 'z': 0.0}}], [], [], [], [{'acceleration': {'y': -0.0, 'x': 0.0, 'z': 0.0}, 'position': {'y': 4182868.54, 'x': 552762.01, 'z': 10.58}, 'volume': {'wid': 0.58, 'hei': 1.14, 'len': 0.35}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': 0.0, 'z': 0.0}}], [{'acceleration': {'y': -0.39, 'x': -1.57, 'z': 0.0}, 'position': {'y': 4182869.0, 'x': 552762.24, 'z': 10.44}, 'volume': {'wid': 0.35, 'hei': 1.15, 'len': 0.27}, 'type': 'PEDESTRIAN', 'velocity': {'y': 0.0, 'x': 0.0, 'z': 0.0}}]]","[3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3]",False,"['SpeedCut', 'SpeedCut', 'Cruise', 'Cruise', 'SpeedCut', 'Cruise', 'EmergencyBrake', 'EmergencyBrake', 'EmergencyBrake', 'Cruise', 'SpeedUp', 'SpeedUp']"
